beta,theta,is_convex,violation_rate,convexity_score
0.24000000000000002,0.73,0.6111111111111112,0.019833424221106618,0.6111111111111112
0.24000000000000002,0.74,0.5555555555555556,0.020490644907397073,0.5555555555555556
0.24000000000000002,0.75,0.5,0.0205007564582063,0.5
0.24000000000000002,0.76,0.6111111111111112,0.01817669781874068,0.6111111111111112
0.24000000000000002,0.77,0.6111111111111112,0.017559059374067355,0.6111111111111112
0.24000000000000002,0.78,0.5555555555555556,0.015610735203473463,0.5555555555555556
0.24000000000000002,0.79,0.6666666666666666,0.014039418653959237,0.6666666666666666
0.24000000000000002,0.8,0.6111111111111112,0.013982860225307786,0.6111111111111112
0.24000000000000002,0.81,0.6111111111111112,0.013710241747747449,0.6111111111111112
0.24000000000000002,0.8200000000000001,0.6666666666666666,0.012095526600200563,0.6666666666666666
0.24000000000000002,0.8300000000000001,0.7222222222222222,0.009902251687192408,0.7222222222222222
0.24000000000000002,0.84,0.6666666666666666,0.010357077599867157,0.6666666666666666
0.24000000000000002,0.85,0.6666666666666666,0.009425357052466036,0.6666666666666666
0.24000000000000002,0.86,0.6666666666666666,0.009184351288204457,0.6666666666666666
0.24000000000000002,0.87,0.6666666666666666,0.008951693388395394,0.6666666666666666
0.24000000000000002,0.88,0.7222222222222222,0.007877610279428564,0.7222222222222222
0.24000000000000002,0.89,0.6666666666666666,0.007541612914959929,0.6666666666666666
0.24000000000000002,0.9,0.6666666666666666,0.0073140653763658775,0.6666666666666666
0.25,0.7,0.5555555555555556,0.02499187464930739,0.5555555555555556
0.25,0.71,0.5555555555555556,0.021889110782607135,0.5555555555555556
0.25,0.72,0.4444444444444444,0.023347822452074618,0.4444444444444444
0.25,0.73,0.5,0.02072309575758048,0.5
0.25,0.74,0.4444444444444444,0.021380316443870936,0.4444444444444444
0.25,0.75,0.6111111111111112,0.01960508424712711,0.6111111111111112
0.25,0.76,0.5555555555555556,0.01895421433753627,0.5555555555555556
0.25,0.77,0.6666666666666666,0.017839756551566856,0.6666666666666666
0.25,0.78,0.7222222222222222,0.013475515233951166,0.7222222222222222
0.25,0.79,0.6666666666666666,0.013633046118226237,0.6666666666666666
0.25,0.8,0.6111111111111112,0.013842170004675705,0.6111111111111112
0.25,0.81,0.7222222222222222,0.012272679256405886,0.7222222222222222
0.25,0.8200000000000001,0.6666666666666666,0.011927919928233425,0.6666666666666666
0.25,0.8300000000000001,0.6666666666666666,0.01033709731099152,0.6666666666666666
0.25,0.84,0.6666666666666666,0.010189677977525674,0.6666666666666666
0.25,0.85,0.6666666666666666,0.009217789802747622,0.6666666666666666
0.25,0.86,0.6666666666666666,0.009070370469281778,0.6666666666666666
0.25,0.87,0.6111111111111112,0.009259514066855608,0.6111111111111112
0.25,0.88,0.7222222222222222,0.006945889732027443,0.7222222222222222
0.25,0.89,0.6666666666666666,0.007380942405452209,0.6666666666666666
0.25,0.9,0.7222222222222222,0.007200291607068853,0.7222222222222222
0.26,0.7,0.7222222222222222,0.020895211461074436,0.7222222222222222
0.26,0.71,0.6111111111111112,0.0213685503783258,0.6111111111111112
0.26,0.72,0.5555555555555556,0.020221166055069385,0.5555555555555556
0.26,0.73,0.5555555555555556,0.02161949640688811,0.5555555555555556
0.26,0.74,0.6666666666666666,0.018381099091455907,0.6666666666666666
0.26,0.75,0.5,0.020494755783600976,0.5
0.26,0.76,0.5555555555555556,0.018368809755038667,0.5555555555555556
0.26,0.77,0.6111111111111112,0.016849293257324496,0.6111111111111112
0.26,0.78,0.5,0.015523608720998141,0.5
0.26,0.79,0.6111111111111112,0.014079317116822816,0.6111111111111112
0.26,0.8,0.6666666666666666,0.013125529840361121,0.6666666666666666
0.26,0.81,0.6666666666666666,0.012535428995899814,0.6666666666666666
0.26,0.8200000000000001,0.6666666666666666,0.011676954080482353,0.6666666666666666
0.26,0.8300000000000001,0.5555555555555556,0.011782738502272246,0.5555555555555556
0.26,0.84,0.6111111111111112,0.010398801863975142,0.6111111111111112
0.26,0.85,0.7222222222222222,0.008481376399183055,0.7222222222222222
0.26,0.86,0.6666666666666666,0.008737397025843217,0.6666666666666666
0.26,0.87,0.6111111111111112,0.00830087706811943,0.6111111111111112
0.26,0.88,0.7222222222222222,0.006825386849896653,0.7222222222222222
0.26,0.89,0.7777777777777778,0.0066380069386795335,0.7777777777777778
0.26,0.9,0.7777777777777778,0.006517504056548744,0.7777777777777778
0.27,0.7,0.5,0.022936161736036336,0.5
0.27,0.71,0.5555555555555556,0.021181475394739187,0.5555555555555556
0.27,0.72,0.5,0.020575469374488984,0.5
0.27,0.73,0.5555555555555556,0.019586003682988407,0.5555555555555556
0.27,0.74,0.6111111111111112,0.01850498441156216,0.6111111111111112
0.27,0.75,0.6111111111111112,0.017707316317382437,0.6111111111111112
0.27,0.76,0.6666666666666666,0.017094995283549776,0.6666666666666666
0.27,0.77,0.6111111111111112,0.016688415698191118,0.6111111111111112
0.27,0.78,0.6111111111111112,0.016216577835364884,0.6111111111111112
0.27,0.79,0.6666666666666666,0.013826471878512462,0.6666666666666666
0.27,0.8,0.6666666666666666,0.01336829929097941,0.6666666666666666
